"","EstacaoCodigo","Data","Vazão","Mês","Ano","Dia"
"153",58874000,1940-06-01,25.6693,6,1940,1
"154",58874000,1940-06-02,26.5366,6,1940,2
"155",58874000,1940-06-03,27.8617,6,1940,3
"156",58874000,1940-06-04,29.673401,6,1940,4
"157",58874000,1940-06-05,31.065599,6,1940,5
"158",58874000,1940-06-06,27.4168,6,1940,6
"159",58874000,1940-06-07,26.5366,6,1940,7
"160",58874000,1940-06-08,27.4168,6,1940,8
"161",58874000,1940-06-09,32.486401,6,1940,9
"162",58874000,1940-06-10,29.673401,6,1940,10
"163",58874000,1940-06-11,28.7612,6,1940,11
"164",58874000,1940-06-12,27.8617,6,1940,12
"165",58874000,1940-06-13,26.101299,6,1940,13
"166",58874000,1940-06-14,25.2404,6,1940,14
"167",58874000,1940-06-15,24.814899,6,1940,15
"168",58874000,1940-06-16,24.3925,6,1940,16
"169",58874000,1940-06-17,24.3925,6,1940,17
"170",58874000,1940-06-18,24.3925,6,1940,18
"171",58874000,1940-06-19,23.9734,6,1940,19
"172",58874000,1940-06-20,23.5576,6,1940,20
"173",58874000,1940-06-21,23.5576,6,1940,21
"174",58874000,1940-06-22,22.735701,6,1940,22
"175",58874000,1940-06-23,22.735701,6,1940,23
"176",58874000,1940-06-24,22.735701,6,1940,24
"177",58874000,1940-06-25,22.735701,6,1940,25
"178",58874000,1940-06-26,22.3297,6,1940,26
"179",58874000,1940-06-27,22.735701,6,1940,27
"180",58874000,1940-06-28,25.2404,6,1940,28
"181",58874000,1940-06-29,23.9734,6,1940,29
"182",58874000,1940-06-30,22.3297,6,1940,30
"183",58874000,1940-07-01,21.926901,7,1940,1
"184",58874000,1940-07-02,21.926901,7,1940,2
"185",58874000,1940-07-03,22.735701,7,1940,3
"186",58874000,1940-07-04,22.735701,7,1940,4
"187",58874000,1940-07-05,22.3297,7,1940,5
"188",58874000,1940-07-06,21.926901,7,1940,6
"189",58874000,1940-07-07,21.1313,7,1940,7
"190",58874000,1940-07-08,21.1313,7,1940,8
"191",58874000,1940-07-09,21.5275,7,1940,9
"192",58874000,1940-07-10,21.1313,7,1940,10
"193",58874000,1940-07-11,21.1313,7,1940,11
"194",58874000,1940-07-12,21.1313,7,1940,12
"195",58874000,1940-07-13,21.1313,7,1940,13
"196",58874000,1940-07-14,21.1313,7,1940,14
"197",58874000,1940-07-15,20.3489,7,1940,15
"198",58874000,1940-07-16,20.3489,7,1940,16
"199",58874000,1940-07-17,20.3489,7,1940,17
"200",58874000,1940-07-18,20.3489,7,1940,18
"201",58874000,1940-07-19,20.3489,7,1940,19
"202",58874000,1940-07-20,19.962601,7,1940,20
"203",58874000,1940-07-21,19.5797,7,1940,21
"204",58874000,1940-07-22,19.5797,7,1940,22
"205",58874000,1940-07-23,19.5797,7,1940,23
"206",58874000,1940-07-24,19.5797,7,1940,24
"207",58874000,1940-07-25,20.3489,7,1940,25
"208",58874000,1940-07-26,20.3489,7,1940,26
"209",58874000,1940-07-27,20.3489,7,1940,27
"210",58874000,1940-07-28,19.5797,7,1940,28
"211",58874000,1940-07-29,19.5797,7,1940,29
"212",58874000,1940-07-30,18.0812,7,1940,30
"213",58874000,1940-07-31,18.823799,7,1940,31
"214",58874000,1940-08-01,18.823799,8,1940,1
"215",58874000,1940-08-02,18.823799,8,1940,2
"216",58874000,1940-08-03,18.823799,8,1940,3
"217",58874000,1940-08-04,18.4508,8,1940,4
"218",58874000,1940-08-05,18.4508,8,1940,5
"219",58874000,1940-08-06,18.823799,8,1940,6
"220",58874000,1940-08-07,18.4508,8,1940,7
"221",58874000,1940-08-08,18.4508,8,1940,8
"222",58874000,1940-08-09,18.0812,8,1940,9
"223",58874000,1940-08-10,18.0812,8,1940,10
"224",58874000,1940-08-11,18.0812,8,1940,11
"225",58874000,1940-08-12,18.0812,8,1940,12
"226",58874000,1940-08-13,18.0812,8,1940,13
"227",58874000,1940-08-14,18.0812,8,1940,14
"228",58874000,1940-08-15,18.0812,8,1940,15
"229",58874000,1940-08-16,17.715,8,1940,16
"230",58874000,1940-08-17,17.715,8,1940,17
"231",58874000,1940-08-18,17.3521,8,1940,18
"232",58874000,1940-08-19,16.992599,8,1940,19
"233",58874000,1940-08-20,16.6364,8,1940,20
"234",58874000,1940-08-21,16.6364,8,1940,21
"235",58874000,1940-08-22,16.6364,8,1940,22
"236",58874000,1940-08-23,16.6364,8,1940,23
"237",58874000,1940-08-24,16.6364,8,1940,24
"238",58874000,1940-08-25,16.6364,8,1940,25
"239",58874000,1940-08-26,16.6364,8,1940,26
"240",58874000,1940-08-27,16.6364,8,1940,27
"241",58874000,1940-08-28,17.3521,8,1940,28
"242",58874000,1940-08-29,18.0812,8,1940,29
"243",58874000,1940-08-30,19.2001,8,1940,30
"244",58874000,1940-08-31,21.1313,8,1940,31
"245",58874000,1940-09-01,18.4508,9,1940,1
